Drama,History,Horror,Metascore,Action,Musical,War,Thriller,Romance,Runtime,imdbRating,Documentary,Science,Fiction,France,Won
1,0,0,0.3888888888888889,0,0,0,0,1,0.2582417582417582,0.5,0,0,0,0,0
1,1,0,0.8999999999999999,0,0,1,0,0,0.6153846153846154,0.7833333333333334,0,0,0,0,1
0,0,0,0.34444444444444444,1,0,0,1,0,0.2582417582417582,0.3999999999999999,0,0,0,0,0
0,0,1,0.4924444444444445,1,0,0,1,0,0.18681318681318682,0.0,0,1,1,0,0
1,0,0,0.7888888888888889,0,0,0,1,1,0.25274725274725274,0.7000000000000002,0,0,0,0,0
1,0,0,0.817,0,0,0,0,1,0.3626373626373627,0.7833333333333334,0,0,0,0,1
1,0,0,0.7684444444444444,0,0,0,0,1,0.46703296703296704,0.7000000000000002,0,0,0,0,0
1,0,0,0.8111111111111111,0,0,0,1,0,0.5164835164835165,0.8166666666666667,0,0,0,0,0
1,0,0,0.9777777777777779,0,0,0,0,0,0.4285714285714286,0.8333333333333333,0,0,0,0,1
0,0,0,0.33333333333333337,0,0,0,0,1,0.25274725274725274,0.5,0,0,0,0,0
0,0,0,0.4333333333333334,1,0,0,0,0,0.3296703296703297,0.45000000000000007,0,0,0,0,1
1,0,0,0.6444444444444444,0,0,0,0,0,0.3296703296703297,0.55,0,0,0,0,0
1,0,0,0.7111111111111111,0,0,0,0,0,0.3131868131868132,0.6166666666666667,0,0,0,0,0
1,0,0,0.7222222222222222,0,0,0,1,0,0.27472527472527475,0.7833333333333334,0,0,0,0,1
1,0,0,0.8111111111111111,0,0,0,0,0,0.3791208791208791,0.8500000000000001,0,0,0,0,1
0,0,0,0.5111111111111111,0,0,0,0,0,0.1648351648351648,0.5333333333333334,0,0,0,1,0
1,0,0,0.6333333333333333,1,0,0,0,0,0.521978021978022,0.8833333333333333,0,0,0,0,1
0,0,0,0.4924444444444445,0,0,0,0,1,0.1648351648351648,0.5833333333333335,0,0,0,0,0
1,0,0,0.6222222222222222,0,0,0,1,1,0.2857142857142857,0.7666666666666666,0,0,0,0,1
1,0,0,0.8444444444444444,0,0,0,1,0,0.3296703296703297,0.75,0,0,0,0,1
0,0,0,0.2555555555555556,1,0,0,1,0,0.27472527472527475,0.46666666666666656,0,0,0,0,0
1,0,0,0.7444444444444445,0,0,0,0,0,0.24725274725274726,0.7666666666666666,0,0,0,0,1
1,0,0,0.8777777777777778,0,0,0,0,1,0.21978021978021978,0.7833333333333334,0,0,0,1,1
0,0,0,0.4924444444444445,0,0,0,0,0,0.17582417582417587,0.7833333333333334,1,0,0,0,0
1,1,0,0.9333333333333333,0,0,1,0,0,0.7417582417582419,0.9500000000000002,0,0,0,0,1
1,0,0,0.7888888888888889,1,1,0,0,0,0.2912087912087912,0.6499999999999999,0,0,0,0,1
0,0,1,0.2555555555555556,0,0,0,1,0,0.17582417582417587,0.4833333333333334,0,0,0,0,0
0,0,1,0.4924444444444445,0,0,0,0,0,0.15934065934065933,0.21666666666666667,0,0,0,0,0
0,0,0,0.45555555555555555,0,0,0,0,0,0.20879120879120883,0.6166666666666667,0,0,0,0,0
0,0,0,0.4924444444444445,0,0,0,0,0,0.0,0.7666666666666666,1,0,0,0,0
1,0,0,0.8444444444444444,0,0,1,0,0,0.6758241758241758,0.8166666666666667,0,0,0,0,1
0,0,1,0.4924444444444445,0,0,0,0,0,0.14835164835164832,0.20000000000000007,0,0,0,0,0
