title,runtime,budget,original_language,Year,Month,Genre
Love Affair,108.0,60000000,en,1994,10,Drama Romance 
Losing Isaiah,106.0,17000000,en,1995,03,Drama 
Mary Shelley's Frankenstein,123.0,45000000,en,1994,11,Drama Horror Science Fiction Romance 
Mixed Nuts,97.0,15000000,en,1994,12,Comedy Drama Romance 
Miami Rhapsody,95.0,6,en,1995,01,Comedy Romance 
My Family,128.0,5500000,en,1995,05,Comedy Drama 
Nell,112.0,31000000,en,1994,12,Drama Thriller 
Beyond Bedlam,89.0,4800000,en,1994,04,Horror 
Natural Born Killers,119.0,34000000,en,1994,08,Crime Thriller Drama 
Outbreak,127.0,50000000,en,1995,03,Action Drama Science Fiction Thriller 
Leon: The Professional,110.0,16000000,fr,1994,09,Thriller Crime Drama 
The Perez Family,113.0,11000000,en,1995,05,Comedy Drama Romance 
Pulp Fiction,154.0,8000000,en,1994,09,Thriller Crime 
Pushing Hands,105.0,400000,zh,1992,02,Comedy Drama 
The Quick and the Dead,107.0,32000000,en,1995,02,Action Western 
Roommates,108.0,22000000,sv,1995,03,Drama Comedy 
Prêt-à-Porter,133.0,15000000,en,1994,12,Drama Comedy 
The Swan Princess,89.0,35000000,en,1994,11,Animation 
The Specialist,110.0,45000000,en,1994,10,Action Thriller 
Stargate,121.0,55000000,en,1994,10,Action Adventure Science Fiction 
The Santa Clause,97.0,22000000,en,1994,11,Fantasy Drama Comedy Family 
The Shawshank Redemption,142.0,25000000,en,1994,09,Drama Crime 
The Sum of Us,100.0,32,en,1994,07,Comedy Drama Romance 
Tank Girl,98.0,25000000,en,1995,03,Action Comedy Fantasy Science Fiction 
Star Trek: Generations,118.0,38000000,en,1994,11,Science Fiction Action Adventure Thriller 
Tales from the Hood,98.0,6000000,en,1995,05,Crime Horror Thriller 
The Underneath,99.0,6500000,en,1995,04,Thriller Crime 
What's Eating Gilbert Grape,118.0,11000000,en,1993,12,Romance Drama 
Virtuosity,106.0,30000000,en,1995,08,Action Crime Science Fiction Thriller 
While You Were Sleeping,103.0,17000000,en,1995,04,Comedy Drama Romance 
Muriel's Wedding,106.0,3000000,en,1994,09,Drama Comedy Romance 
Ace Ventura: Pet Detective,86.0,15000000,en,1994,02,Comedy Mystery 
Bitter Moon,139.0,5000000,en,1992,09,Thriller Drama Romance 
Clear and Present Danger,141.0,62000000,en,1994,08,Action Drama Thriller 
The Client,119.0,45000000,en,1994,07,Drama Thriller Crime Mystery 
The Crow,102.0,15000000,en,1994,05,Fantasy Action Thriller 
The Flintstones,91.0,46000000,en,1994,05,Fantasy Comedy Family 
Forrest Gump,142.0,55000000,en,1994,07,Comedy Drama Romance 
Four Weddings and a Funeral,117.0,6000000,en,1994,03,Comedy Drama Romance 
I Love Trouble,123.0,45000000,en,1994,06,Action Comedy Romance 
The Lion King,89.0,45000000,en,1994,06,Family Animation Drama 
Little Buddha,140.0,35000000,en,1993,12,Drama History 
New Nightmare,112.0,14000000,en,1994,10,Horror Thriller Mystery Fantasy 
The Mask,101.0,23000000,en,1994,07,Romance Comedy Crime Fantasy 
The Naked Gun 33⅓: The Final Insult,83.0,30000000,en,1994,03,Comedy Crime 
The Paper,112.0,6000000,en,1994,03,Comedy Drama 
Reality Bites,99.0,11500000,en,1994,02,Drama 
Red Rock West,98.0,8000000,en,1993,07,Crime Drama Thriller 
Ri¢hie Ri¢h,95.0,40000000,en,1994,12,Comedy Family 
The River Wild,111.0,45000000,en,1994,09,Action Adventure Crime Thriller 
Speed,116.0,30000000,en,1994,06,Action Adventure Crime 
Timecop,99.0,27000000,en,1994,09,Thriller Science Fiction Action Crime 
True Lies,141.0,115000000,en,1994,07,Action Thriller 
Wyatt Earp,191.0,63000000,en,1994,06,Drama Action Western 
A Low Down Dirty Shame,100.0,10000000,en,1994,11,Action Comedy Crime 
"Faster, Pussycat! Kill! Kill!",83.0,45000,en,1965,08,Action Crime 
Jason's Lyric,119.0,7000000,en,1994,09,Crime Drama Romance 
Street Fighter,102.0,35000000,en,1994,12,Action Adventure Thriller 
Highlander: The Final Dimension,99.0,26000000,en,1994,11,Action Fantasy Science Fiction 
In the Mouth of Madness,95.0,8000000,en,1994,12,Horror Mystery Thriller 
The Age of Innocence,139.0,34000000,en,1993,09,Drama Romance 
The Air Up There,107.0,17080000,en,1994,01,Comedy Family 
Barcelona,100.0,3200000,en,1994,07,Comedy Drama Romance 
Being Human,122.0,40000000,en,1994,05,Drama Comedy Fantasy 
Beverly Hills Cop III,104.0,50000000,en,1994,05,Action Comedy Crime 
Body Snatchers,87.0,13000000,en,1993,06,Horror Science Fiction Thriller 
A Bronx Tale,121.0,22000000,en,1993,09,Drama Crime 
Calendar Girl,90.0,13000000,en,1993,09,Drama Comedy 
Carlito's Way,144.0,30000000,en,1993,11,Action Crime Drama Thriller 
Cliffhanger,112.0,70000000,en,1993,05,Action Adventure Thriller 
Color of Night,121.0,40000000,en,1994,08,Drama Mystery Romance Thriller 
Dazed and Confused,102.0,6900000,en,1993,09,Comedy Drama 
Demolition Man,115.0,57000000,en,1993,10,Crime Action Science Fiction 
Even Cowgirls Get the Blues,96.0,8000000,en,1994,05,Western Drama Comedy Romance 
For Love or Money,94.0,30000000,en,1993,10,Comedy Romance 
The Firm,154.0,42000000,en,1993,06,Drama Mystery Thriller 
Free Willy,112.0,20000000,en,1993,07,Family Adventure 
The Fugitive,130.0,44000000,en,1993,08,Adventure Action Thriller Crime Mystery 
Geronimo: An American Legend,115.0,35000000,en,1993,12,History Action Drama Western 
Getting Even with Dad,109.0,30000000,en,1994,06,Family Comedy Crime 
Hard Target,97.0,18000000,en,1993,08,Action Adventure Crime Thriller 
Heaven & Earth,140.0,33000000,en,1993,12,History War Action Drama 
Hot Shots! Part Deux,86.0,25000000,en,1993,05,Action Comedy War 
The House of the Spirits,140.0,25000000,en,1993,10,Romance Drama 
The Hudsucker Proxy,111.0,30000000,en,1994,03,Comedy Drama 
I'll Do Anything,115.0,40000000,en,1994,02,Comedy Drama 
In the Line of Fire,128.0,40000000,en,1993,07,Action Drama Thriller Crime Mystery 
In the Name of the Father,133.0,13000000,en,1993,12,Drama 
Jimmy Hollywood,112.0,30000000,en,1994,03,Comedy 
Jurassic Park,127.0,63000000,en,1993,06,Adventure Science Fiction 
Kalifornia,117.0,9000000,en,1993,09,Thriller Crime 
Killing Zoe,96.0,1500000,en,1993,10,Action Crime Drama Thriller 
Last Action Hero,130.0,85000000,en,1993,06,Adventure Fantasy Action Comedy Family 
Made in America,111.0,22000000,en,1993,05,Comedy 
Manhattan Murder Mystery,104.0,13500000,en,1993,08,Comedy Mystery 
Menace II Society,97.0,3500000,en,1993,05,Drama Action Crime 
Executive Decision,133.0,55000000,en,1996,03,Action Adventure Drama Thriller 
Much Ado About Nothing,111.0,8000000,en,1993,05,Drama Comedy Romance 
Mrs. Doubtfire,125.0,25000000,en,1993,11,Comedy Drama Family 
The Next Karate Kid,107.0,12000000,en,1994,07,Adventure 
No Escape,118.0,20000000,en,1994,04,Action Drama Science Fiction Thriller 
North,87.0,40000000,en,1994,07,Comedy Drama Family Fantasy Science Fiction 
Orlando,93.0,4000000,en,1992,09,Romance Drama Fantasy 
A Perfect World,138.0,30000000,en,1993,11,Crime Drama Thriller 
Philadelphia,125.0,26000000,en,1993,12,Drama 
The Piano,121.0,7000000,en,1993,05,Drama Romance 
Poetic Justice,109.0,14000000,en,1993,07,Drama Romance 
The Ref,97.0,11000000,en,1994,03,Comedy 
The Remains of the Day,134.0,11500000,en,1993,11,Drama Romance 
Renaissance Man,128.0,40000000,en,1994,06,Comedy War 
RoboCop 3,104.0,22000000,en,1993,04,Action Adventure Crime Science Fiction Thriller 
Robin Hood: Men in Tights,104.0,20000000,en,1993,07,Comedy 
Romeo Is Bleeding,100.0,11500000,en,1993,09,Action Crime Drama Thriller 
Ruby in Paradise,114.0,800000,en,1993,10,Drama Romance 
Rudy,114.0,12000000,en,1993,09,Drama 
Schindler's List,195.0,22000000,en,1993,11,Drama History War 
Serial Mom,95.0,13000000,en,1994,04,Comedy Crime Horror Thriller 
The Shadow,108.0,25000000,en,1994,07,Adventure Fantasy Action Thriller Science Fiction 
Shadowlands,131.0,22000000,en,1993,12,Drama Romance 
Sleepless in Seattle,105.0,21000000,en,1993,06,Comedy Drama Romance 
Sliver,108.0,40000000,en,1993,05,Drama Thriller 
Blade Runner,117.0,28000000,en,1982,06,Science Fiction Drama Thriller 
