title,runtime,budget,original_language,Year,Month,Genre
Kill Switch,96.0,10000000,en,2008,10,Action Thriller 
Driven To Kill,98.0,10000000,en,2009,05,Action Adventure Thriller 
Morphine,110.0,3600000,ru,2008,11,History Drama 
The Lovely Bones,136.0,65000000,en,2009,12,Fantasy Drama 
Invictus,134.0,60000000,en,2009,12,Drama History 
The Princess and the Frog,97.0,105000000,en,2009,12,Romance Family Animation Music 
Everybody's Fine,99.0,21000000,en,2009,12,Drama 
Armored,88.0,20000000,en,2009,12,Action Crime Drama Thriller 
Invaders from Mars,100.0,12000000,en,1986,01,Mystery Science Fiction Horror 
The Art of Travel,100.0,2,en,2008,01,Action Adventure Drama 
Flaming Creatures,45.0,300,en,1963,04,Drama 
Did You Hear About the Morgans?,103.0,58000000,en,2009,12,Comedy 
Mum & Dad,84.0,170000,en,2008,08,Horror Thriller 
Nasty Old People,84.0,15000,en,2009,10,Drama 
Veronika Decides to Die,103.0,9000000,en,2009,05,Drama Romance 
Avatar,162.0,237000000,en,2009,12,Action Adventure Fantasy Science Fiction 
Nine,112.0,80000000,en,2009,12,Drama Music Romance 
It's Complicated,121.0,85000000,en,2009,12,Comedy Romance 
Sherlock Holmes,128.0,90000000,en,2009,12,Action Adventure Crime Mystery 
Crazy Heart,112.0,7000000,en,2009,12,Drama Music Romance 
Alvin and the Chipmunks: The Squeakquel,88.0,75000000,en,2009,12,Comedy Family Animation Fantasy Music 
Guru,166.0,4700000,hi,2007,01,Drama 
Beyond a Reasonable Doubt,105.0,25000000,en,2009,02,Crime Drama Mystery 
Trapeze,105.0,4000000,en,1956,05,Drama 
Sorority Babes in the Slimeball Bowl-O-Rama,80.0,90000,en,1988,01,Comedy Horror 
Jill Rips,94.0,2000000,en,2000,01,Thriller 
Pontypool,93.0,1500000,en,2009,03,Horror Mystery Science Fiction 
The Last Patrol,95.0,3000000,en,2001,08,Drama Action Thriller Science Fiction 
Direct Contact,90.0,6000000,en,2009,04,Action Adventure Thriller 
The Matriarch,90.0,1400000,en,2007,09,Comedy Drama 
Youth in Revolt,87.0,18000000,en,2009,09,Drama Comedy Romance 
Daybreakers,98.0,20000000,en,2009,01,Fantasy Horror Action Thriller Science Fiction 
Missionary Man,93.0,2000000,en,2007,11,Action Adventure Thriller 
Hachi: A Dog's Tale,93.0,16000000,en,2009,06,Drama Family 
Leap Year,100.0,19000000,en,2010,01,Romance Comedy 
The Book of Eli,118.0,80000000,en,2010,01,Action Thriller Science Fiction 
The Girl Who Kicked the Hornet's Nest,147.0,4000000,sv,2009,11,Action Thriller Crime Mystery 
A Prophet,155.0,13000000,fr,2009,08,Crime Drama 
Princess,90.0,8,da,2006,06,Action Animation Drama Foreign Romance Thriller 
Metal Gear Solid: Philanthropy,69.0,15000,en,2009,09,Action Science Fiction War 
The Maiden Heist,91.0,20000000,en,2009,05,Comedy Crime 
Hidden Agenda,94.0,5000000,tr,2001,05,Action Thriller 
Detention,98.0,5000000,en,2003,07,Action Thriller 
Horsemen,90.0,20000000,en,2009,02,Crime Drama Horror Mystery Thriller 
"Swades: We, the People",210.0,5000000,hi,2004,12,Drama 
Bart Got a Room,80.0,2000000,en,2008,04,Comedy Drama Romance 
Soul Kitchen,99.0,5000000,de,2009,09,Drama Comedy 
The House on Sorority Row,91.0,425000,en,1983,01,Horror Mystery Thriller 
Dragon Hunters,80.0,15000000,fr,2008,03,Animation Family 
The Other Man,90.0,15000000,en,2008,12,Drama Thriller Mystery Romance 
Ninja,83.0,10000000,en,2009,10,Action Crime Drama Thriller 
If You Love,121.0,2000000,en,2010,01,Drama Comedy 
Asterix at the Olympic Games,116.0,97250400,fr,2008,01,Fantasy Adventure Comedy Family 
A Dennis the Menace Christmas,83.0,2000000,en,2007,11,Comedy Family 
Blood and Bone,93.0,3700000,en,2009,02,Drama Action Thriller 
3 Idiots,170.0,9000000,hi,2009,12,Drama Comedy Romance 
Legion,100.0,26000000,en,2010,01,Horror 
Beautiful,97.0,1500000,en,2009,04,Drama Mystery Thriller 
Stan Helsing,90.0,108,en,2009,10,Comedy Horror 
Four Eyed Monsters,71.0,250000,en,2005,01,Comedy Drama Fantasy Romance 
Extraordinary Measures,105.0,31000000,en,2010,01,Drama 
The Red Baron,120.0,18000000,de,2008,03,Action Adventure Drama History War 
Edge of Darkness,117.0,80000000,en,2010,01,Crime Drama Mystery Thriller 
Triangle,99.0,12000000,en,2009,10,Horror 
I Love You Phillip Morris,98.0,13000000,en,2009,01,Comedy Drama Romance 
Black Legion,83.0,235000,en,1937,01,Crime Drama 
Fish Tank,123.0,3000000,en,2009,05,Drama 
The Wounds,103.0,10000,sr,1998,05,War Drama Comedy Crime 
Valentine's Day,125.0,52000000,en,2010,02,Comedy Romance 
The Wolfman,102.0,150000000,en,2010,02,Drama Horror Thriller 
Shutter Island,138.0,80000000,en,2010,02,Drama Thriller Mystery 
The Headless Woman,87.0,2700000,es,2008,08,Drama Mystery Thriller 
The Other End of the Line,106.0,14000000,en,2008,10,Comedy Romance 
Ondine,111.0,12000000,en,2009,09,Drama Romance 
Steal This Film,32.0,3000,en,2006,08,Documentary 
Percy Jackson & the Olympians: The Lightning Thief,118.0,95000000,en,2010,02,Adventure Fantasy Family 
Cop Out,107.0,30000000,en,2010,02,Action Comedy Crime 
Trailer Park Boys: Countdown to Liquor Day,101.0,3500000,en,2009,09,Comedy Crime 
The Ghost Writer,128.0,45000000,en,2010,02,Thriller Mystery 
The Spy Next Door,94.0,28000000,en,2010,01,Action Comedy Family 
I Hope They Serve Beer in Hell,106.0,7000000,en,2009,09,Comedy Drama 
Agora,127.0,70000000,en,2009,05,Adventure Drama History 
Singh Is Kinng,135.0,14000000,hi,2008,01,Action Comedy 
Shinjuku Incident,119.0,15000000,zh,2009,03,Drama Action Thriller Crime 
District 13: Ultimatum,101.0,15000000,fr,2009,02,Action Thriller Crime 
The Crazies,101.0,20000000,en,2010,02,Mystery Horror Action 
Dear John,115.0,25000000,en,2010,02,Drama Romance War 
Tooth Fairy,101.0,48000000,en,2010,01,Comedy Family Fantasy 
Trap,84.0,200000,en,2007,10,Drama Thriller Foreign 
Isolation,95.0,5000000,en,2005,09,Horror Science Fiction Thriller 
[REC]²,85.0,5600000,es,2009,09,Thriller Horror 
Cabin Fever 2: Spring Fever,87.0,10000000,en,2009,08,Horror 
My Name Is Khan,145.0,12000000,hi,2010,02,Drama Romance 
Alice in Wonderland,108.0,200000000,en,2010,03,Family Fantasy Adventure 
Green Zone,115.0,100000000,en,2010,03,War Action Adventure Drama Thriller 
The Fall of the Roman Empire,188.0,19000000,en,1964,03,War Drama History 
From Paris with Love,92.0,52000000,en,2010,02,Action Crime Thriller 
Zone of the Dead,102.0,1000000,en,2009,02,Action Horror 
Brooklyn's Finest,133.0,17000000,en,2009,01,Crime Drama Thriller 
She's Out of My League,104.0,20000000,en,2010,03,Comedy Romance 
Harry Brown,103.0,7300000,en,2009,11,Thriller Crime Drama Action 
Remember Me,113.0,16000000,en,2010,03,Drama Romance 
Joy Ride 2: Dead Ahead,91.0,5000000,en,2008,10,Crime Thriller 
The Burrowers,96.0,7000000,en,2008,09,Action Horror Western 
Generation X,87.0,7000000,en,1996,12,TV Movie Action Fantasy Science Fiction 
Survival of the Dead,90.0,4000000,en,2010,05,Horror Science Fiction 
"Skin, Skin",89.0,110125,fi,1966,10,Drama 
Nine Dead,98.0,2000000,en,2010,01,Crime Drama Horror Thriller 
Little Ashes,112.0,2500000,en,2008,10,Drama Romance 
Our Family Wedding,103.0,14000000,en,2010,03,Comedy 
The Bounty Hunter,110.0,40000000,en,2010,03,Action 
Dead Man Running,92.0,5000000,en,2009,01,Action Crime Drama Thriller 
Leaves of Grass,104.0,9000000,en,2009,09,Comedy Crime Drama Thriller 
Women in Trouble,92.0,3000000,en,2009,11,Comedy Drama 
Combat Shock,92.0,40000,en,1986,05,Drama Thriller Horror War 
The Card Player,103.0,2600000,it,2004,01,Horror Mystery Thriller 
The Egyptian,139.0,5000000,en,1954,08,History Drama 
Repo Men,111.0,32000000,en,2010,03,Action Science Fiction Thriller Crime 
Case 39,109.0,27000000,en,2009,08,Horror Mystery Thriller 
Hot Tub Time Machine,101.0,36000000,en,2010,03,Science Fiction Comedy Adventure 
Chloe,96.0,15000000,en,2009,03,Drama Thriller Mystery 
Blackwoods,90.0,3000000,en,2001,10,Thriller 
Zift,92.0,796442,bg,2008,06,Drama Thriller 
Mother,128.0,5000000,ko,2009,05,Crime Drama Mystery Thriller 
How to Train Your Dragon,98.0,165000000,en,2010,03,Fantasy Adventure Animation Family 
Universal Soldier: Regeneration,97.0,14000000,en,2009,10,Adventure Action Science Fiction Thriller 
Micmacs,100.0,33000000,fr,2009,10,Action Comedy Crime 
Clash of the Titans,106.0,125000000,en,2010,04,Adventure Fantasy Action 
Growth,90.0,300000,en,2010,01,Horror Science Fiction Thriller 
Defendor,101.0,3500000,en,2009,09,Drama Action Comedy Crime 
Glorious 39,129.0,6000000,en,2009,11,War Drama History Thriller 
Kick-Ass,117.0,28000000,en,2010,03,Action Crime 
Date Night,97.0,55000000,en,2010,04,Comedy 
The Pit and the Pendulum,97.0,2000000,en,1991,06,Horror 
After.Life,104.0,4500000,en,2010,04,Drama Horror Mystery Thriller 
Camille,94.0,6000000,en,2008,04,Comedy Drama Romance 
Downloading Nancy,102.0,3000000,en,2008,01,Drama Thriller 
Steam of Life,80.0,580000,fi,2010,03,Documentary 
Angel,134.0,15000000,en,2007,02,Romance Drama 
The Runaways,106.0,10000000,en,2010,03,Drama Music 
Cape No. 7,129.0,16000000,zh,2008,08,Comedy Drama Romance 
Razorback,95.0,5500000,en,1984,04,Horror 
A Farewell to Arms,89.0,4,en,1932,12,Drama Romance War 
Reclaim Your Brain,129.0,2500000,de,2007,09,Comedy Drama 
Death at a Funeral,92.0,21000000,en,2010,04,Comedy 
Valhalla Rising,93.0,5641880,fr,2009,09,Adventure Drama Action Fantasy 
Diary of a Wimpy Kid,92.0,15000000,en,2010,03,Comedy Family 
The Union: The Business Behind Getting High,104.0,200000,en,2007,05,Comedy Documentary 
American Virgin,82.0,4000000,en,2009,10,Comedy 
City of Life and Death,132.0,12000000,zh,2009,04,Drama History War 
Scarecrows,83.0,425000,en,1988,09,Horror 
The Losers,97.0,25000000,en,2010,04,Action Adventure Crime Mystery Thriller 
Cyrus,91.0,7000000,en,2010,06,Comedy Drama Romance 
The Human Centipede (First Sequence),92.0,2011799,en,2009,04,Horror 
Solomon Kane,104.0,45000000,en,2009,09,Adventure Fantasy Action Science Fiction 
Iron Man 2,124.0,200000000,en,2010,04,Adventure Action Science Fiction 
Marmaduke,87.0,50000000,en,2010,06,Family Comedy 
MacGruber,90.0,10000000,en,2010,05,Action Adventure Comedy 
Ca$h,108.0,7000000,en,2010,01,Crime Thriller Comedy 
The Good Heart,95.0,3800000,en,2009,09,Drama Comedy Romance 
A Nightmare on Elm Street,95.0,35000000,en,2010,04,Horror Mystery Thriller 
Four Lions,101.0,967686,en,2010,05,Comedy Crime Drama 
Lord Save Us,100.0,980000,en,2008,06,Documentary 
Gunless,89.0,10000000,en,2010,04,Drama Action Comedy Western 
Furry Vengeance,92.0,35000000,en,2010,04,Comedy 
Armadillo,105.0,1500000,da,2010,05,Documentary War 
The Disappearance of Alice Creed,100.0,800000,en,2009,09,Crime Drama Thriller 
Robin Hood,140.0,200000000,en,2010,05,Action Adventure 
Little Fugitive,80.0,30000,en,1953,10,Drama 
A Dirty Carnival,141.0,4700000,ko,2006,06,Crime Drama Thriller 
Adam Resurrected,106.0,10000000,en,2008,08,Drama War 
Halo Legends,120.0,100000,en,2010,02,Action Animation Science Fiction 
Stoic,87.0,2000000,en,2009,01,Crime Drama 
Blue Valentine,112.0,3500000,en,2010,12,Drama Romance 
Killers,100.0,75000000,en,2010,06,Action Comedy Thriller Romance 
Buried,94.0,1987650,en,2010,09,Drama Thriller Mystery 
Shake Hands With the Devil,112.0,11000000,en,2007,09,Drama History 
Prince of Persia: The Sands of Time,116.0,150000000,en,2010,05,Adventure Fantasy Action Romance 
Artists and Models,109.0,1500000,en,1955,11,Comedy 
Please Give,90.0,3000000,en,2010,01,Comedy Drama 
Peter & the Wolf,32.0,2300000,no,2006,09,Animation Family Music 
True Legend,115.0,20000000,zh,2010,02,Action Fantasy 
The Tomb,89.0,8800000,en,2009,11,Horror Thriller 
Baarìa,150.0,35000000,it,2009,09,Drama Comedy 
Sex and the City 2,146.0,100000000,en,2010,05,Comedy Drama Romance 
Get Him to the Greek,109.0,40000000,en,2010,06,Comedy 
Detour,77.0,2200000,no,2009,07,Horror Thriller 
Unthinkable,97.0,15000000,en,2010,06,Drama Thriller 
The Back-Up Plan,106.0,35000000,en,2010,04,Comedy Romance 
Splice,104.0,26000000,en,2009,10,Horror Thriller Science Fiction 
Burnt by the Sun 2: Intercession,180.0,55000000,ru,2010,04,Drama War 
Letters to Juliet,105.0,30000000,en,2010,05,Comedy Drama Romance 
How to Be,85.0,500000,en,2008,01,Comedy Drama Foreign 
How About You...,100.0,9000000,en,2007,11,Comedy Drama 
Jonah Hex,80.0,47000000,en,2010,06,Action Western Drama Fantasy Thriller 
The A-Team,117.0,110000000,en,2010,06,Thriller Action Adventure Comedy Crime 
Toy Story 3,103.0,200000000,en,2010,06,Animation Family Comedy 
Winter's Bone,100.0,2000000,en,2010,06,Drama 
Don't Look Back,110.0,13000000,fr,2009,05,Drama Horror Mystery 
Under the North Star,193.0,6153120,en,2009,12,Drama History 
Shrek Forever After,93.0,165000000,en,2010,05,Comedy Adventure Fantasy Animation Family 
The Killer Inside Me,109.0,13000000,en,2010,02,Crime Drama Thriller 
A Woman of Affairs,91.0,383000,en,1928,12,Drama 
The Twilight Saga: Eclipse,124.0,68000000,en,2010,06,Adventure Fantasy Drama Romance 
Solitary Man,90.0,15000000,en,2009,09,Comedy Drama Romance 
Enter the Void,161.0,13000000,en,2009,05,Fantasy Drama 
The Cry of the Owl,101.0,11500000,en,2009,02,Drama 
The Last Airbender,103.0,150000000,en,2010,06,Action Adventure Family Fantasy 
Yella,89.0,3000000,de,2007,02,Drama Romance 
Cool Air,88.0,1,en,2006,11,Horror 
Endgame,109.0,22000000,en,2009,01,Crime Drama 
Horror Business,82.0,15000,en,2005,01,Documentary 
Predators,107.0,40000000,en,2010,07,Action Science Fiction Adventure Thriller 
Despicable Me,95.0,69000000,en,2010,07,Animation Family 
31 North 62 East,121.0,3100000,en,2009,09,Thriller 
Inception,148.0,160000000,en,2010,07,Action Thriller Science Fiction Mystery Adventure 
Grown Ups,102.0,80000000,en,2010,06,Comedy 
The Sorcerer's Apprentice,109.0,150000000,en,2010,07,Fantasy Adventure Action Comedy Drama 
Knight and Day,109.0,117000000,en,2010,06,Action Comedy 
The Greatest,99.0,6000000,en,2009,01,Drama 
Roadracers,95.0,1000000,en,1994,07,Action TV Movie Drama 
The Karate Kid,140.0,40000000,en,2010,06,Action Adventure Drama Family 
The Good Guy,90.0,3200000,en,2009,04,Comedy Romance 
The Yellow Handkerchief,102.0,15000000,en,2008,12,Drama Romance 
The Kids Are All Right,106.0,3500000,en,2010,07,Comedy Drama 
Salt,100.0,110000000,en,2010,07,Action Mystery Thriller 
Mr. Nobody,156.0,47000000,en,2009,09,Science Fiction Drama Romance Fantasy 
The Silver Chalice,142.0,4500000,en,1954,12,Drama Romance 
Dinner for Schmucks,114.0,69000000,en,2010,07,Comedy 
Nanny McPhee and the Big Bang,109.0,35000000,en,2010,03,Comedy Fantasy 
Hellsinki,133.0,2500000,fi,2009,01,Action Crime Drama 
2:13,96.0,3500000,en,2009,04,Horror Thriller Mystery 
Ip Man 2,109.0,12902809,cn,2010,04,Action History Drama 
Charlie St. Cloud,99.0,44000000,en,2010,05,Drama 
The Other Guys,107.0,100000000,en,2010,08,Action Comedy Crime 
The Kautokeino Rebellion,100.0,7300000,no,2008,01,Drama 
Invisible Agent,81.0,322000,en,1942,07,Adventure Comedy Romance Science Fiction War 
The Expendables,103.0,80000000,en,2010,08,Thriller Adventure Action 
Scott Pilgrim vs. the World,112.0,60000000,en,2010,07,Action Adventure Comedy 
Animal Kingdom,113.0,5000000,en,2010,06,Drama Thriller Crime 
Centurion,97.0,12000000,en,2010,02,Adventure Action Drama 
Life During Wartime,97.0,4500000,en,2009,10,Comedy Drama 
The Experiment,96.0,21800000,en,2010,07,Thriller Drama 
Black Water,90.0,700,en,2007,06,Adventure Drama Horror 
Piranha 3D,88.0,24000000,en,2010,08,Comedy Horror 
The Extraordinary Adventures of Adèle Blanc-Sec,105.0,25000000,fr,2010,04,Fantasy Adventure Action Mystery 
Get Low,103.0,7500000,en,2010,01,Comedy Drama Mystery 
The Joneses,96.0,10000000,en,2009,09,Comedy Drama 
Giallo,92.0,14000000,en,2010,03,Crime Horror Mystery Thriller 
Gaby: A True Story,110.0,5000000,en,1987,10,Drama Romance 
TEKKEN,92.0,30000000,en,2010,03,Crime Drama Action Thriller Science Fiction 
Narco,105.0,823258,en,2004,12,Comedy 
The Last Exorcism,87.0,1800000,en,2010,08,Horror Drama Thriller 
The American,104.0,20000000,en,2010,08,Crime Drama Thriller 
The Switch,101.0,19000000,en,2010,05,Comedy Romance Drama 
Elephants Dream,11.0,150000,en,2006,03,Animation Science Fiction 
Fear and Desire,62.0,53000,en,1953,04,Drama History 
The End of Poverty?,106.0,1000000,en,2008,05,Documentary 
Machete,105.0,20000000,en,2010,09,Action Comedy Thriller 
Step Up 3D,107.0,30000000,en,2010,08,Drama Romance 
Going the Distance,102.0,32000000,en,2010,09,Comedy Drama Romance 
Offside,93.0,2500,fa,2006,05,Drama Comedy Foreign 
Homecoming,88.0,1500000,en,2009,07,Horror Thriller 
Vampires Suck,82.0,20000000,en,2010,08,Horror Comedy 
Resident Evil: Afterlife,97.0,60000000,en,2010,09,Action Adventure Horror Science Fiction 
Preacher's Kid,110.0,7000000,en,2010,01,Drama Family 
22 Bullets,115.0,24000000,fr,2010,03,Action Crime Thriller 
Triangle,93.0,5000000,cn,2007,10,Thriller Action 
Heroes for Sale,76.0,290,en,1933,06,Drama 
The Pornographer,108.0,1500000,fr,2001,09,Drama 
Our Relations,73.0,400000,it,1936,10,Comedy 
Hungry Wives,104.0,90000,en,1972,05,Mystery Horror Drama 
The Social Network,120.0,40000000,en,2010,09,Drama 
Superman/Batman: Apocalypse,78.0,3500000,en,2010,09,Action Adventure Animation 
The Married Woman,95.0,120000,fr,1964,12,Drama Romance 
The Town,125.0,37000000,en,2010,09,Crime Drama Thriller 
Easy A,92.0,8000000,en,2010,09,Comedy 
Eat Pray Love,133.0,60000000,en,2010,08,Drama 
Howl,84.0,30000,en,2010,08,Drama 
Camp Hell,99.0,3000000,en,2010,08,Horror Thriller 
Blue Gold: World Water Wars,90.0,100000,en,2008,10,Documentary 
Saratoga Trunk,135.0,1750000,en,1945,11,Drama Romance 
Flipped,89.0,14000000,en,2010,08,Romance Drama 
Wall Street: Money Never Sleeps,133.0,70000000,en,2010,09,Drama Crime 
Legend of the Guardians: The Owls of Ga'Hoole,97.0,80000000,en,2010,07,Animation Adventure Family Fantasy 
Cats & Dogs 2 : The Revenge of Kitty Galore,82.0,85000000,en,2010,07,Comedy Family 
Diên Biên Phu,125.0,30000000,fr,1992,03,Drama War 
Amigo,128.0,1200000,en,2010,07,Drama History War 
It's Kind of a Funny Story,101.0,8000000,en,2010,07,Comedy Drama 
Mudhoney,92.0,60000,en,1965,05,Drama 
Middle Men,105.0,22000000,en,2009,05,Drama Comedy Crime 
Saint John of Las Vegas,84.0,3800000,en,2009,06,Comedy 
Tere Naam,132.0,1,hi,2003,08,Romance Thriller 
Red Canyon,98.0,1500000,en,2008,01,Action Horror Thriller 
My Girlfriend's Boyfriend,84.0,1400000,en,2010,04,Comedy 
Let Me In,116.0,20000000,en,2010,10,Drama Horror Mystery 
Sintel,14.0,550000,en,2010,09,Animation Fantasy 
Big Buck Bunny,8.0,150000,en,2008,04,Animation Comedy 
Secretariat,123.0,35000000,en,2010,08,Drama 
Devil,80.0,10000000,en,2010,01,Horror Mystery Thriller 
You Again,105.0,20000000,en,2010,09,Comedy Romance 
Life As We Know It,114.0,38000000,en,2010,10,Comedy Romance Drama 
Catfish,87.0,30000,en,2010,09,Documentary 
You Will Meet a Tall Dark Stranger,98.0,22000000,en,2010,05,Comedy Drama Romance 
Stone,105.0,22000000,en,2010,10,Drama 
Hunger,101.0,625000,en,2009,05,Horror 
Inside Job,109.0,2000000,en,2010,10,Documentary 
Leaving,85.0,7600000,fr,2009,08,Drama Romance 
Monsters,94.0,500000,en,2010,06,Drama Thriller Science Fiction 
Conviction,107.0,12500000,en,2010,09,Drama 
Dirty Girl,90.0,4000000,en,2010,09,Drama Comedy 
Bran Nue Dae,82.0,7,en,2009,08,Comedy Drama Foreign Romance 
Never Let Me Go,104.0,15000000,en,2010,09,Drama Romance Science Fiction 
The Illusionist,80.0,18000000,fr,2010,02,Animation Drama 
Lost Boys: The Thirst,81.0,4400000,en,2010,05,Action Adventure Comedy 
IMAX Mummies Secrets Of The Pharohs,40.0,4000000,en,2007,05,Drama Documentary 
Bianca Beauchamp: All Access,85.0,7500,en,2007,07,Documentary 
PEEPLI [Live],104.0,2270000,hi,2010,08,Drama Comedy 
Rubber,85.0,500000,en,2010,07,Comedy Drama Fantasy Horror Mystery 
Shelter,112.0,22000000,en,2010,03,Horror Mystery Thriller 
Jackass 3D,94.0,20000000,en,2010,10,Comedy Documentary Action 
RED,111.0,58000000,en,2010,10,Action Adventure Comedy Crime Thriller 
In a Better World,119.0,15000000,da,2010,08,Drama 
My Soul to Take,107.0,25000000,en,2010,10,Drama Horror Mystery Thriller 
Whisper,94.0,12000000,en,2007,11,Crime Drama Horror Thriller 
Heartbreaker,105.0,8700000,fr,2010,03,Romance Comedy 
Of Gods and Men,120.0,4000000,fr,2010,05,Drama History 
Paranormal Activity 2,91.0,3000000,en,2010,10,Horror Thriller 
Born to Raise Hell,98.0,10000000,en,2010,10,Action Thriller 
The Countess,98.0,8500000,en,2009,02,Drama History Horror 
Hereafter,129.0,50000000,en,2010,10,Drama Fantasy 
Afterwards,107.0,15400000,en,2008,10,Drama Thriller Mystery 
Undisputed III : Redemption,96.0,3000000,en,2010,05,Action Thriller 
Saw: The Final Chapter,90.0,20000000,en,2010,10,Horror Crime 
Due Date,95.0,65000000,en,2010,11,Comedy Drama 
127 Hours,94.0,18000000,en,2010,11,Adventure Drama Thriller 
Megamind,95.0,130000000,en,2010,10,Animation Action Comedy Family Science Fiction 
Black Swan,108.0,13000000,en,2010,12,Drama Thriller 
Fair Game,108.0,22000000,en,2010,05,Drama Thriller 
Roman,92.0,250000,en,2006,07,Drama Thriller 
Habit,112.0,200000,en,1996,08,Horror Thriller 
Ploy,105.0,2000000,th,2007,05,Drama 
Lourdes,96.0,2500000,fr,2009,09,Drama 
Tales of an Ancient Empire,86.0,1000000,en,2010,07,Adventure Fantasy Horror Action Thriller Science Fiction 
How I Ended This Summer,124.0,2500000,ru,2010,02,Drama Thriller 
The King of Fighters,93.0,12000000,en,2009,11,Action Thriller Science Fiction 
The magnetic man,79.0,262000,fi,2009,10,Documentary Music Foreign 
Unstoppable,98.0,100000000,en,2010,11,Action Thriller 
Morning Glory,102.0,40000000,en,2010,01,Comedy Drama Romance 
The Next Three Days,133.0,30000000,en,2010,11,Romance Drama Thriller Crime 
Somewhere,98.0,8000000,en,2010,09,Comedy Drama 
Wild Target,98.0,8000000,en,2010,06,Action Comedy 
Carlos,338.0,18000000,en,2010,05,Crime Drama Thriller History 
Harry Potter and the Deathly Hallows: Part 1,146.0,250000000,en,2010,10,Adventure Fantasy Family 
The King's Speech,118.0,15000000,en,2010,09,Drama History 
Tangled,100.0,260000000,en,2010,11,Animation Family 
The Lost Skeleton Returns Again,93.0,600,en,2010,08,Comedy Horror 
Snow & Ashes,110.0,600000,en,2010,05,Drama Thriller War 
Linewatch,90.0,5000000,en,2008,01,Action Adventure Crime Drama Thriller 
The Fighter,116.0,25000000,en,2010,12,Drama 
The Romantics,95.0,4500000,en,2010,09,Comedy Drama Romance 
The Extra Man,108.0,7000000,en,2010,08,Comedy 
Casino Jack,108.0,12500000,en,2010,09,Crime Comedy Drama 
London Boulevard,103.0,25000000,en,2010,11,Drama Crime 
Skyline,100.0,10000000,en,2010,11,Science Fiction 
Sex & Drugs & Rock & Roll,115.0,2000000,en,2010,01,Drama 
Against the Current,98.0,3000000,en,2009,01,Drama 
Beastly,86.0,17000000,en,2011,01,Drama Fantasy Romance 
August Underground's Mordum,77.0,300,en,2003,01,Horror 
Love & Other Drugs,112.0,30000000,en,2010,11,Drama Comedy Romance 
The Chronicles of Narnia: The Voyage of the Dawn Treader,113.0,155000000,en,2010,08,Adventure Family Fantasy 
Tiny Furniture,99.0,65000,en,2010,11,Romance Comedy Drama 
The Tourist,103.0,100000000,en,2010,12,Action Thriller Romance 
Rare Exports: A Christmas Tale,84.0,1948000,fi,2010,12,Fantasy 
Breaking the Maya Code,116.0,1000000,en,2008,05,Documentary Mystery 
Cotton Comes to Harlem,97.0,1200000,en,1970,05,Action Adventure 
Boy Interrupted,92.0,350000,en,2009,10,Documentary 
Hatchet II,89.0,2500000,en,2010,08,Horror Comedy Thriller 
"Tomorrow, When the War Began",103.0,27000000,en,2010,08,Action 
True Grit,110.0,38000000,en,2010,12,Drama Adventure Western 
TRON: Legacy,125.0,170000000,en,2010,12,Adventure Action Science Fiction 
Another Year,129.0,8000000,en,2010,11,Comedy Drama 
How Do You Know,121.0,120000000,en,2010,12,Comedy Drama Romance 
Barney's Version,134.0,30000000,en,2010,10,Comedy Drama 
The Company Men,104.0,15000000,en,2010,10,Drama 
Mother and Child,125.0,7000000,en,2009,11,Drama Romance 
Adventures of Power,89.0,2500000,en,2008,01,Comedy 
Life in Flight,78.0,2000000,en,2008,09,Drama Romance 
Zerophillia,90.0,325000,en,2005,10,Comedy Romance 
Black Sheep,94.0,45000,de,2006,10,Comedy Foreign 
Faster,98.0,24000000,en,2010,11,Crime Drama Action Thriller 
Little Big Soldier,96.0,25000000,zh,2010,02,Action Comedy Adventure 
Rabbit Hole,91.0,5000000,en,2010,12,Drama 
Little Fockers,98.0,100000000,en,2010,12,Comedy Romance 
Gulliver's Travels,85.0,112000000,en,2010,12,Comedy 
The Last Circus,101.0,7000000,es,2010,12,Action Drama Thriller 
Steam,120.0,2200000,en,2007,11,Drama 
Mao's Last Dancer,117.0,25000000,en,2009,10,Drama Romance 
Burlesque,119.0,55000000,en,2010,11,Drama Romance 
The Secret World of Arrietty,94.0,37000000,ja,2010,07,Fantasy Animation Family 
Tucker and Dale vs Evil,89.0,5000000,en,2010,01,Comedy Horror 
Yogi Bear,80.0,80000000,en,2010,12,Comedy Family Animation Adventure 
Countdown to Zero,91.0,271323,en,2010,01,Documentary 
Made in Dagenham,113.0,7200000,en,2010,09,Comedy Drama History 
Waste Land,90.0,1500000,en,2010,01,Documentary 
Last Night,90.0,7000000,en,2010,05,Drama Romance 
The Green Hornet,119.0,120000000,en,2011,01,Action Crime Comedy 
The Way Back,133.0,30000000,en,2010,09,Drama Adventure History 
The Warrior's Way,100.0,42000000,en,2010,12,Adventure Fantasy Action Western Thriller 
Handsome Harry,94.0,1000000,en,2009,04,Crime Drama 
Jacques Brel Is Alive and Well and Living in Paris,98.0,850000,en,1975,01,Drama Music 
Ghajini,183.0,9100000,hi,2008,12,Thriller Action Drama Mystery 
Fortress of War,138.0,8500000,ru,2010,11,War Drama History Action 
Season of the Witch,95.0,40000000,en,2011,01,Adventure Fantasy Action 
The Spy in Black,82.0,4668069,en,1939,10,Thriller War 
It's Alive,80.0,11000000,en,2008,08,Horror 
Cowboys & Aliens,119.0,163000000,en,2011,07,Action Science Fiction Thriller Western 
