Name,Year of release,Rating,Genre,votes
Sunset Blvd.,1950.0,8.4,Drama Film-Noir            ,"192,781"
Dog Day Afternoon,1975.0,8.0,Biography Crime Drama            ,"228,432"
Fatal Attraction,1987.0,6.9,Drama Thriller            ,"73,035"
The Sting,1973.0,8.3,Comedy Crime Drama            ,"233,573"
The Last Picture Show,1971.0,8.0,Drama Romance            ,"40,603"
Master and Commander: The Far Side of the World,2003.0,7.4,Action Adventure Drama            ,"196,428"
Traffic,2000.0,7.6,Crime Drama Thriller            ,"191,798"
Witness,1985.0,7.4,Crime Drama Romance            ,"83,262"
"Crouching Tiger, Hidden Dragon",2000.0,7.8,Action Adventure Fantasy            ,"247,966"
Munich,2005.0,7.5,Action Drama History            ,"206,377"
Bridge of Spies,2015.0,7.6,Drama History Thriller            ,"277,670"
Four Weddings and a Funeral,1994.0,7.0,Comedy Drama Romance            ,"134,299"
Born on the Fourth of July,1989.0,7.2,Biography Drama War            ,"94,965"
Wings,1927.0,7.5,Drama Romance War            ,"10,941"
Roman Holiday,1953.0,8.0,Comedy Romance            ,"123,295"
The Color Purple,1985.0,7.8,Drama            ,"75,307"
In the Heat of the Night,1967.0,7.9,Crime Drama Mystery            ,"64,780"
The Hours,2002.0,7.5,Drama Romance            ,"121,439"
The Artist,2011.0,7.9,Comedy Drama Romance            ,"225,500"
A Room with a View,1985.0,7.3,Drama Romance            ,"38,056"
Ben-Hur,1959.0,8.1,Adventure Drama History            ,"212,618"
The Right Stuff,1983.0,7.8,Adventure Biography Drama            ,"54,456"
The Piano,1993.0,7.6,Drama Music Romance            ,"76,659"
Coming Home,1978.0,7.3,Drama Romance War            ,"11,938"
A Serious Man,2009.0,7.0,Comedy Drama            ,"128,900"
Annie Hall,1977.0,8.0,Comedy Romance            ,"246,268"
Babe,1995.0,6.7,Comedy Drama Family            ,"113,986"
Network,1976.0,8.1,Drama            ,"139,980"
Tootsie,1982.0,7.4,Comedy Drama Romance            ,"94,683"
War Horse,2011.0,7.2,Action Adventure Drama            ,"142,902"
Sideways,2004.0,7.5,Comedy Drama Romance            ,"175,687"
The Ten Commandments,1956.0,7.8,Adventure Drama            ,"61,735"
The Apartment,1960.0,8.3,Comedy Drama Romance            ,"156,259"
The Remains of the Day,1993.0,7.8,Drama Romance            ,"62,987"
Terms of Endearment,1983.0,7.4,Comedy Drama            ,"52,955"
Ordinary People,1980.0,7.7,Drama            ,"45,036"
MASH,1970.0,7.5,Comedy Drama War            ,"65,884"
On the Waterfront,1954.0,8.1,Crime Drama Thriller            ,"136,624"
Shakespeare in Love,1998.0,7.1,Comedy Drama History            ,"209,473"
The French Connection,1971.0,7.7,Action Crime Drama            ,"105,863"
Bonnie and Clyde,1967.0,7.8,Action Biography Crime            ,"99,222"
Chocolat,2000.0,7.2,Drama Romance            ,"174,182"
JFK,1991.0,8.0,Drama History Thriller            ,"136,906"
Out of Africa,1985.0,7.2,Biography Drama Romance            ,"69,521"
The Crying Game,1992.0,7.2,Crime Drama Romance            ,"49,631"
The Longest Day,1962.0,7.8,Action Drama History            ,"51,005"
Precious,2009.0,7.3,Drama            ,"103,436"
