Drama,History,Horror,Metascore,Action,Musical,War,Thriller,Romance,Runtime,imdbRating,Documentary,Science,Fiction,France,Won
1,0,0,0.6262626262626264,0,0,0,0,0,0.10582010582010581,0.6538461538461537,0,0,0,0,0
1,0,0,0.6262626262626264,0,0,0,0,0,0.2275132275132275,0.7051282051282051,0,0,0,1,0
1,0,1,0.6565656565656567,0,0,0,1,0,0.34920634920634913,0.641025641025641,0,0,0,0,0
0,0,0,0.5050505050505052,0,0,0,0,1,0.19576719576719576,0.5256410256410255,0,0,0,0,0
0,0,0,0.6666666666666667,0,0,0,0,0,0.1693121693121693,0.7435897435897435,0,0,0,0,0
1,0,0,0.6565656565656567,0,0,0,0,0,0.2698412698412698,0.7564102564102564,0,0,0,0,0
1,0,0,0.393939393939394,0,1,0,1,1,0.4761904761904761,0.7435897435897435,0,0,0,0,0
1,0,0,0.6363636363636365,1,0,0,1,0,0.39153439153439146,0.6538461538461537,0,1,1,0,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.19047619047619047,0.5769230769230769,0,0,0,1,0
0,0,0,0.5050505050505052,0,0,0,0,1,0.29629629629629634,0.641025641025641,0,0,0,1,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.23280423280423285,0.5769230769230769,0,0,0,0,0
0,0,1,0.5385858585858587,0,0,0,1,0,0.1746031746031746,0.5641025641025641,0,1,1,0,0
0,0,1,0.5385858585858587,0,0,0,0,0,0.20634920634920634,0.2692307692307692,0,0,0,0,0
1,0,0,0.6060606060606062,0,0,0,0,0,0.32275132275132273,0.7435897435897435,0,0,0,0,0
0,0,1,0.5385858585858587,0,0,0,0,0,0.15343915343915343,0.6666666666666666,0,0,0,0,0
0,0,0,0.5385858585858587,1,0,0,0,0,0.291005291005291,0.6666666666666666,0,1,1,0,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.21693121693121692,0.7179487179487178,0,0,0,1,0
1,1,0,0.5385858585858587,1,0,1,0,0,0.41798941798941797,0.7051282051282051,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.2275132275132275,0.6666666666666666,0,0,0,0,0
1,0,0,0.23232323232323232,0,0,0,0,0,0.20105820105820105,0.39743589743589736,0,0,0,0,0
0,0,1,0.5252525252525253,0,0,0,0,0,0.36507936507936506,0.5769230769230769,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,1,0,0.3439153439153439,0.5384615384615384,0,0,0,0,0
1,0,0,0.5385858585858587,1,0,0,1,0,0.2751322751322752,0.5256410256410255,0,0,0,0,0
0,0,1,0.31313131313131315,0,0,0,0,0,0.14285714285714285,0.20512820512820512,0,0,0,0,0
0,0,0,0.4646464646464647,0,0,0,0,1,0.2645502645502645,0.6538461538461537,0,0,0,0,0
0,0,0,0.6262626262626264,1,0,0,0,0,0.43915343915343913,0.6666666666666666,0,0,0,0,0
1,0,0,0.8181818181818183,1,0,0,0,1,0.40211640211640215,0.846153846153846,0,0,0,0,0
0,0,0,0.42424242424242425,1,0,0,1,0,0.29629629629629634,0.5512820512820512,0,0,0,0,0
1,1,0,0.7070707070707072,0,0,0,0,0,0.4603174603174603,0.7307692307692307,0,0,0,0,0
0,0,0,0.5385858585858587,1,0,0,0,0,0.17989417989417988,0.2692307692307692,0,0,0,0,0
1,0,0,0.32323232323232326,0,0,0,0,1,0.253968253968254,0.5769230769230769,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,0,1,0.5291005291005291,0.47435897435897434,0,0,0,0,0
0,0,0,0.48484848484848486,0,0,0,0,0,0.3703703703703703,0.5641025641025641,0,1,1,0,0
0,0,0,0.393939393939394,1,0,0,0,0,0.21164021164021163,0.41025641025641024,0,0,0,0,0
1,0,0,0.5385858585858587,1,0,0,0,0,0.5079365079365079,0.5384615384615384,0,0,0,0,0
0,0,0,0.6767676767676769,0,0,0,1,0,0.19576719576719576,0.6282051282051282,0,1,1,0,0
1,0,0,0.32323232323232326,0,1,0,0,1,0.2645502645502645,0.5641025641025641,0,0,0,0,0
1,0,0,0.4444444444444445,0,0,0,0,1,0.33862433862433866,0.6153846153846153,0,0,0,0,0
1,0,0,0.4646464646464647,0,0,0,0,0,0.23280423280423285,0.641025641025641,0,1,1,0,0
0,1,0,0.5385858585858587,0,0,0,0,0,0.22222222222222215,0.6153846153846153,1,0,0,0,0
0,0,0,0.35353535353535354,0,0,0,1,0,0.32275132275132273,0.6025641025641025,0,0,0,0,0
0,0,1,0.686868686868687,0,0,0,0,0,0.13227513227513227,0.7564102564102564,0,0,0,0,0
0,0,0,0.5385858585858587,1,0,0,1,0,0.24867724867724866,0.5,0,1,1,0,0
1,0,1,0.5385858585858587,0,0,0,1,0,0.14814814814814814,0.30769230769230765,0,0,0,0,0
1,0,0,0.7272727272727274,0,0,0,0,1,0.3544973544973545,0.7692307692307692,0,0,0,1,0
0,0,0,0.47474747474747475,0,0,0,0,0,0.23809523809523808,0.7435897435897435,0,0,0,0,0
0,0,0,0.9595959595959597,0,1,0,0,0,0.17989417989417988,0.7820512820512819,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,1,0,0.18518518518518517,0.5256410256410255,0,0,0,0,0
0,0,0,0.787878787878788,0,0,0,0,0,0.20634920634920634,0.8333333333333333,0,0,0,0,0
1,0,0,0.7373737373737375,0,0,0,0,0,0.19576719576719576,0.7307692307692307,0,0,0,0,0
0,0,0,0.27272727272727276,0,0,0,1,0,0.23809523809523808,0.39743589743589736,0,0,0,0,0
0,0,0,0.5385858585858587,0,0,0,1,1,0.5026455026455026,0.7179487179487178,0,0,0,0,0
1,1,0,0.595959595959596,0,0,0,0,0,0.6666666666666665,0.8589743589743588,0,0,0,0,0
1,0,0,0.5252525252525253,0,1,0,0,1,0.31216931216931215,0.6025641025641025,0,0,0,0,0
0,0,0,0.595959595959596,1,0,0,0,0,0.40211640211640215,0.7948717948717948,0,0,0,0,0
1,0,0,0.6767676767676769,0,0,0,0,1,0.2698412698412698,0.5769230769230769,0,0,0,0,0
1,1,0,0.5656565656565657,0,0,0,0,0,0.31216931216931215,0.7820512820512819,0,0,0,0,0
0,0,0,0.5385858585858587,0,0,0,0,0,0.19576719576719576,0.5512820512820512,0,0,0,0,0
0,0,1,0.29292929292929293,0,0,0,0,0,0.15343915343915343,0.47435897435897434,0,0,0,0,0
0,0,0,0.5385858585858587,1,0,0,1,0,0.21693121693121692,0.5384615384615384,0,0,0,0,0
1,0,0,0.6464646464646465,0,0,0,1,0,0.3174603174603175,0.6794871794871794,0,0,0,0,0
1,0,0,0.7894949494949496,0,0,0,0,1,0.3439153439153439,0.7692307692307692,0,0,0,0,0
0,0,0,0.48484848484848486,0,0,0,0,1,0.22222222222222215,0.5769230769230769,0,0,0,0,0
0,0,0,0.41414141414141414,0,0,0,0,0,0.23809523809523808,0.5128205128205128,0,0,0,0,0
1,0,0,0.5385858585858587,0,0,0,0,0,0.2804232804232804,0.6794871794871794,0,0,0,0,0
0,0,1,0.5385858585858587,1,0,0,1,0,0.19576719576719576,0.41025641025641024,0,1,1,0,0
0,0,1,0.22222222222222224,0,0,0,0,0,0.18518518518518517,0.5897435897435896,0,0,0,0,0
